epoch,loss_total,loss_pde,loss_bc,loss_ic,loss_obj
1,0.0317437345948,0.00331738729437,0.00383849232458,0.0226332321763,0.00195462279953
2,0.0130879497272,0.000896753405686,0.00047066656407,0.00955053046346,0.00216999929398
3,0.00269715833674,0.000342111650025,0.000176392728463,0.00162646081299,0.000552193145268
4,0.001096525311,6.50424131891e-05,9.66572115431e-05,0.00059914245503,0.000335683231242
5,0.000942125811252,5.74839034925e-05,5.39813627256e-05,0.000380974030122,0.000449686514912
6,0.000461248356532,3.04826983665e-05,2.51566834777e-05,0.000105531602458,0.000300077372231
7,0.000449107892382,1.33005103635e-05,8.98585494724e-06,0.000123799341964,0.000303022185108
8,0.000391045490051,1.38190401231e-05,1.47918799485e-05,6.96432834957e-05,0.000292791286483
9,0.000387026175576,1.41873791108e-05,1.5737627109e-05,6.38008568785e-05,0.000293300312478
10,0.000370214626764,1.21341271552e-05,1.30706621349e-05,5.06451106048e-05,0.000294364726869
11,0.000357774200256,1.07265507722e-05,9.65505932982e-06,4.23235796916e-05,0.000295069010463
12,0.000350403024004,9.86741297311e-06,9.01110979612e-06,3.65790074284e-05,0.000294945493806
13,0.000344176779527,9.1466136837e-06,8.59696865518e-06,3.15294382744e-05,0.000294903758913
14,0.000338914401436,8.64971498231e-06,8.04829414847e-06,2.71275039267e-05,0.000295088888379
15,0.000334294256572,8.12126763776e-06,7.65927870816e-06,2.33086102526e-05,0.000295205099974
16,0.000330253140964,7.61809551477e-06,7.12149994797e-06,2.00174363272e-05,0.000295496109175
17,0.000326679743011,7.117117093e-06,6.68529082759e-06,1.71586980287e-05,0.000295718637062
18,0.000323590500375,6.68331658744e-06,6.34941397948e-06,1.47012679008e-05,0.000295856501907
19,0.000320926862696,6.28790139672e-06,6.04186834607e-06,1.2594373402e-05,0.000296002719551
20,0.000318597650539,5.93436047893e-06,5.79285369895e-06,1.07901842057e-05,0.000296080252156
21,0.000316586672807,5.61858309993e-06,5.62641298529e-06,9.25979475142e-06,0.00029608188197
22,0.000314836764801,5.32992339686e-06,5.45173679711e-06,7.96734366304e-06,0.000296087760944
23,0.000313288223333,5.06617461724e-06,5.32390549779e-06,6.86835710439e-06,0.000296029786114
24,0.000311916855981,4.83804255964e-06,5.25594987266e-06,5.9355115809e-06,0.000295887351967
25,0.00031069820443,4.63807373308e-06,5.18842625752e-06,5.14721750733e-06,0.000295724486932
26,0.00030961638322,4.45293562734e-06,5.12161022925e-06,4.48461014457e-06,0.000295557227219
27,0.000308631504458,4.29139331573e-06,5.10504014528e-06,3.92336369259e-06,0.000295311707305
28,0.000307735235901,4.14644673583e-06,5.07345566803e-06,3.44664317709e-06,0.00029506869032
29,0.000306906266724,4.01575803153e-06,5.10437348566e-06,3.04006084662e-06,0.00029474607436
30,0.000306136284667,3.90247935229e-06,5.09054098075e-06,2.69201177616e-06,0.000294451252557
31,0.000305428049364,3.8019286194e-06,5.14103794558e-06,2.39660948864e-06,0.000294088473311
32,0.000304751114709,3.70668267351e-06,5.15175906912e-06,2.14110559682e-06,0.000293751567369
33,0.00030411854575,3.62423136266e-06,5.2322538977e-06,1.92108996089e-06,0.000293340970529
34,0.000303513190056,3.54778765086e-06,5.24416145709e-06,1.72945817667e-06,0.000292991782771
35,0.000302952048469,3.48009787103e-06,5.32559579369e-06,1.56464500378e-06,0.0002925817098
36,0.000302400106489,3.4138343608e-06,5.33255388291e-06,1.41863506542e-06,0.00029223508318
37,0.000301879835615,3.35398585776e-06,5.45398597751e-06,1.29016007122e-06,0.000291781703709
38,0.000301377725282,3.29866081756e-06,5.50117010789e-06,1.17654860787e-06,0.000291401345748
39,0.000300893516669,3.24743614328e-06,5.55334918317e-06,1.07433379526e-06,0.000291018397547
40,0.000300428330365,3.19854148074e-06,5.60952639717e-06,9.84114649327e-07,0.000290636147838
41,0.000299979614942,3.15052759561e-06,5.71275450056e-06,9.02336068975e-07,0.000290213996777
42,0.000299549710269,3.10786376758e-06,5.78655226491e-06,8.29338830499e-07,0.000289825955406
43,0.00029912756479,3.06296378767e-06,5.85808356846e-06,7.6208414157e-07,0.000289444433292
44,0.000298721065701,3.02132179968e-06,5.92365586272e-06,7.01506223777e-07,0.000289074581815
45,0.000298328539498,2.98237894185e-06,5.98893075221e-06,6.45922000331e-07,0.000288711307803
46,0.000297945418686,2.94403762382e-06,6.08044774708e-06,5.94494565576e-07,0.000288326438749
47,0.00029757528132,2.90723921808e-06,6.15937324255e-06,5.48123466615e-07,0.000287960545393
48,0.000297213411511,2.87006953386e-06,6.21924209554e-06,5.05262562456e-07,0.000287618837319
49,0.000296863658883,2.83455917724e-06,6.27052713753e-06,4.66192915383e-07,0.000287292379653
50,0.000296521233093,2.80062654383e-06,6.33438412478e-06,4.29759182907e-07,0.000286956463242
51,0.000296185691252,2.76626367395e-06,6.39722702545e-06,3.96502343847e-07,0.000286625698209
52,0.000295863615759,2.73672294497e-06,6.52353173791e-06,3.65820653769e-07,0.000286237540422
53,0.000295546677444,2.7033310289e-06,6.58666704112e-06,3.38175141223e-07,0.000285918504233
54,0.000295233560456,2.672666119e-06,6.62406637275e-06,3.11544823717e-07,0.000285625283141
55,0.000294929219405,2.64374427843e-06,6.67307449476e-06,2.87701851676e-07,0.00028532469878
56,0.000294631081903,2.6119536642e-06,6.67002905175e-06,2.65933095989e-07,0.000285083166091
57,0.000294337350311,2.58607269643e-06,6.82230574967e-06,2.45721508918e-07,0.000284683250356
58,0.000294053013266,2.55868671957e-06,6.87654846843e-06,2.27748813586e-07,0.000284390029265
59,0.000293768207359,2.53346495356e-06,6.90520209901e-06,2.1046770371e-07,0.000284119072603
60,0.000293490874995,2.50607877206e-06,6.94641130394e-06,1.95100213318e-07,0.000283843284706
61,0.000293214515145,2.48096839641e-06,7.02224451743e-06,1.80854598852e-07,0.000283530447632
62,0.000292946647161,2.45749374699e-06,7.08624975232e-06,1.68936750811e-07,0.000283233966911
63,0.00029267742739,2.43479601068e-06,7.17812281437e-06,1.56155309128e-07,0.000282908353256
64,0.000292413539481,2.41385425852e-06,7.15434362064e-06,1.45313563849e-07,0.000282700028038
65,0.000292153307478,2.39300018166e-06,7.25862628315e-06,1.35764949505e-07,0.000282365916064
66,0.000291893505931,2.37177653162e-06,7.23916537027e-06,1.26748517459e-07,0.000282155815512
67,0.000291636488927,2.35204270211e-06,7.35720323064e-06,1.192182566e-07,0.000281808024738
68,0.000291383120147,2.3375722094e-06,7.38727567295e-06,1.11541716308e-07,0.000281546730548
69,0.000291130499825,2.31662727401e-06,7.44426142774e-06,1.05507872661e-07,0.000281264103251
70,0.000290876392252,2.30276968978e-06,7.50689741835e-06,9.93936524196e-08,0.000280967331491
71,0.000290632024149,2.28659137065e-06,7.43368491385e-06,9.63092645634e-08,0.0002808154386
72,0.000290377335432,2.27143380016e-06,7.52746609578e-06,8.98911594049e-08,0.000280488544377
73,0.000290130821854,2.25842998134e-06,7.56981398808e-06,8.56595576693e-08,0.000280216918327
74,0.000289884515274,2.24463710765e-06,7.67884921515e-06,8.2326238271e-08,0.000279878702713
75,0.000289635114314,2.23551307954e-06,7.6680089478e-06,7.89099203757e-08,0.000279652682366
76,0.000289389862398,2.22496901188e-06,7.68088284531e-06,7.62369083418e-08,0.000279407773633
77,0.000289142851115,2.21345394493e-06,7.69390044297e-06,7.39997076948e-08,0.000279161497019
